ts,delivery_date,hour,actual_ptf,predicted_ptf,raw_residual,new_bias,P_before,P_after,uncertainty
2026-06-04T13:30:24.088732,2026-06-04,0,379.138862239887,385.47148781378,-6.33262557389304,1.305716979540087,28.380327881896648,26.955361543012916,5.191855308366453
2026-06-04T13:30:24.088781,2026-06-04,1,249.046473319201,243.53790076018532,5.5085725590156756,3.705354437990155,0.24854789138055877,0.2485478913805575,0.49854577661490374
2026-06-04T13:30:24.088807,2026-06-04,2,339.5074347192154,338.5397938790439,0.967640840171498,1.5298297416099482,8.818941897138687,8.547312490520127,2.923578712899676
2026-06-04T13:30:24.088829,2026-06-04,3,304.1399493764507,298.00383918562085,6.136110190829868,1.5751333801539014,23.461009960465212,22.33132651273042,4.725603296165519
2026-06-04T13:30:24.088850,2026-06-04,4,344.56590981651226,341.61504019615336,2.950869620358901,1.008689250781183,1.0055171044060958,1.0055119866348727,1.0027522059985072
2026-06-04T13:30:24.088871,2026-06-04,5,425.69924969014346,438.2749572830745,-12.575707592931053,-6.094602439874332,0.45352682976264774,0.45352682965492747,0.6734440063248966
2026-06-04T13:30:24.088891,2026-06-04,6,438.45272583369234,448.25612578118296,-9.803399947490618,-7.939004921870635,0.11701498607005135,0.11701498607005135,0.3420745329165142
2026-06-04T13:30:24.088911,2026-06-04,7,375.0717215188173,379.5731035341323,-4.501382015315016,-4.492417793773559,9.980079602226644e-05,9.980079602226644e-05,0.009990034835888534
2026-06-04T13:30:24.088931,2026-06-04,8,459.7169962444812,462.7682809476065,-3.0512847031253045,-0.1321958591921909,2.1317289025166306,2.1293838097643154,1.459240833366554
2026-06-04T13:30:24.088950,2026-06-04,9,488.38413014847174,514.544582464125,-26.160452315653288,-19.96016724676503,9.980079602226644e-05,9.980079602226644e-05,0.009990034835888534
2026-06-04T13:30:24.088970,2026-06-04,10,526.2371726787236,544.0056377634002,-17.768465084676563,-5.522368075629973,1.102689032714169,1.1026758697682353,1.0500837441691189
2026-06-04T13:30:24.088989,2026-06-04,11,505.5338160360597,518.7927415301544,-13.25892549409474,-13.232521852409553,9.980079602226644e-05,9.980079602226644e-05,0.009990034835888534
2026-06-04T13:30:24.089009,2026-06-04,12,559.0445310468037,570.2960129501627,-11.251481903358922,-6.382514661222935,0.38142695540214877,0.3814269553967252,0.6175977294297035
2026-06-04T13:30:24.089028,2026-06-04,13,558.5349096705032,571.7528683091855,-13.217958638682262,-13.191634912898522,9.980079602226644e-05,9.980079602226644e-05,0.009990034835888534
2026-06-04T13:30:24.089047,2026-06-04,14,622.3743675823536,614.3197584716436,8.054609110709976,8.038570204832299,9.980079602226644e-05,9.980079602226644e-05,0.009990034835888534
2026-06-04T13:30:24.089065,2026-06-04,15,575.777866030936,555.4425602323787,20.33530579855733,4.289326201657424,1.9956983993237822,1.9941352659205944,1.4121385434583231
2026-06-04T13:30:24.089083,2026-06-04,16,522.043014268324,537.9777094551727,-15.934695186848671,-12.785168062667415,0.11187014245444456,0.11187014245444456,0.3344699425276426
2026-06-04T13:30:24.089101,2026-06-04,17,655.3298031828236,672.3266227102885,-16.996819527464822,0.5325428610680627,118.53366538169267,114.10267194431962,10.681885224262599
2026-06-04T13:30:24.089120,2026-06-04,18,567.2462932576425,567.1811657858162,0.06512747182625844,0.1175287867310708,1.5921577544627818,1.5918325360202443,1.2616784598384188
2026-06-04T13:30:24.089138,2026-06-04,19,4400.0,4400.01,-0.010000000000218279,9.039748672861485,422.96662912621576,402.03717976714915,20.050864813447554
2026-06-04T13:30:24.089155,2026-06-04,20,603.028064128625,604.3454691526365,-1.3174050240114639,-1.2967287352559658,0.007972866790288625,0.007972866790288625,0.08929091101723974
2026-06-04T13:30:24.089174,2026-06-04,21,676.2732965564852,677.717766403105,-1.4444698466197678,5.679815327653528,54.5472380645524,53.22614680033229,7.295625182280974
2026-06-04T13:30:24.089192,2026-06-04,22,739.5394987717415,729.7558405054745,9.783658266267025,13.107710910033402,151.61263096179368,145.25296132450524,12.052093649009919
2026-06-04T13:30:24.089210,2026-06-04,23,833.5165960027989,855.0994532329565,-21.58285723015763,0.22917175555984093,4.5971241367258395,4.534591964352259,2.129458138671023
